left_acc_x_mean,left_acc_x_max,left_acc_x_min,left_acc_y_mean,left_acc_y_max,left_acc_y_min,left_acc_z_mean,left_acc_z_max,left_acc_z_min,right_acc_x_mean,right_acc_x_max,right_acc_x_min,right_acc_y_mean,right_acc_y_max,right_acc_y_min,right_acc_z_mean,right_acc_z_max,right_acc_z_min,facial expression
-619.1105050415184,-630.9934550692553,-625.0519800553868,775.2122741478108,768.6902509027477,771.9512625252793,-101.05615248660425,-102.7205181676368,-101.88833532712053,581.3798644266063,569.1690208138893,575.2744426202478,802.2710031388076,790.5175577789535,796.3942804588805,-230.711922906343,-233.39460925222158,-232.0532660792823,0.0
-610.6601569274,-611.8773785781215,-611.2687677527607,781.0164248517724,770.4914198628483,775.7539223573103,-102.89613041176364,-104.33755964625401,-103.61684502900883,571.2166494519169,562.9806443757682,567.0986469138425,810.4481617801423,795.9346160432142,803.1913889116782,-228.85672685907457,-235.9363877360793,-232.39655729757692,0.0
-606.4550066285216,-608.5282708927632,-607.4916387606424,775.6537439763132,773.4909052244699,774.5723246003915,-107.28306474467776,-110.89293129130164,-109.08799801798969,569.9801307782124,561.2095668078466,565.5948487930295,807.3099689277394,789.4800900071106,798.395029467425,-243.5188245417067,-244.91338179543482,-244.21610316857075,0.0
-593.9462141094192,-603.0344190175197,-598.4903165634694,784.4215227267601,768.1027774165199,776.26215007164,-105.99886275612573,-108.66566581242121,-107.33226428427346,561.6592035201076,547.6414697804069,554.6503366502573,813.7285553324177,796.3008439860682,805.014699659243,-241.79984565624608,-248.69688468152927,-245.2483651688877,0.0
-609.4665545757654,-618.7825670877269,-614.1245608317461,765.6988817129557,760.5363238665439,763.1176027897498,-93.46448402504586,-111.09153237469563,-102.27800819987075,579.0613529998417,553.9220684505406,566.4917107251911,799.0282236653675,794.4736768678674,796.7509502666175,-231.91860953243395,-244.0332415506818,-237.97592554155787,0.0
-610.3309509941267,-618.5254122175502,-614.4281816058385,776.2739045000394,773.1213114335332,774.6976079667863,-95.81555288504723,-101.95664352146498,-98.8860982032561,580.7842980469744,559.6526443854221,570.2184712161983,798.4415574678535,788.1399104196013,793.2907339437274,-224.4102371993814,-254.81726890865136,-239.6137530540164,0.0
-608.8865906954176,-618.2290443932771,-613.5578175443474,769.0495072640281,768.4204480531868,768.7349776586075,-94.4876635099133,-104.98544625349683,-99.73655488170508,596.5265512984065,560.456884357037,578.4917178277217,798.1993454947335,789.462824883025,793.8310851888792,-229.08778432573806,-229.54014179074073,-229.31396305823938,0.0
-607.8459090300377,-624.7144964674176,-616.2802027487276,780.2504835747467,748.3896376293161,764.3200606020314,-76.96526481356553,-92.4108072366852,-84.68803602512537,565.9143748221226,562.8820382642479,564.3982065431852,806.8198751269474,800.3556910708766,803.587783098912,-234.80084143941113,-239.9544030331526,-237.37762223628187,0.0
-613.8418903909876,-617.3295312560671,-615.5857108235273,780.3321304941898,777.8834355712154,779.1077830327026,-97.17815483134066,-102.95292879923143,-100.06554181528605,577.6409384547301,571.1983115024891,574.4196249786096,804.235758894284,799.8279191024063,802.0318389983452,-226.6278296128912,-241.60949085688847,-234.11866023488983,0.0
-593.3296858780241,-616.573445804707,-604.9515658413656,773.9653187834958,760.7007816144436,767.3330501989697,-92.24622928527228,-106.86020143085324,-99.55321535806276,588.6153566638177,562.4979685886003,575.556662626209,811.4482148939865,796.777283263312,804.1127490786492,-229.11705272376395,-242.92962885306375,-236.02334078841386,0.0
-615.5825830346522,-627.3806905563106,-621.4816367954813,776.6665255894277,770.4636192124482,773.5650724009379,-17.12946968640029,-40.231071274021055,-28.680270480210673,607.6904954611298,600.8930053190129,604.2917503900713,771.876226190744,752.2274248812151,762.0518255359796,-272.8348391537699,-274.925402362682,-273.880120758226,1.0
-597.0372992448241,-612.5034654239122,-604.7703823343682,778.9079951918468,778.3579464830482,778.6329708374475,-21.446581674052904,-24.000950952028756,-22.72376631304083,601.90105682144,593.8885327827749,597.8947948021074,771.1717060623482,766.3369577219459,768.7543318921471,-283.29126465692747,-287.7639872559705,-285.527625956449,1.0
-584.1708634309538,-609.8515062866035,-597.0111848587786,794.7200111860797,773.8009657965001,784.2604884912898,-14.30638773277357,-66.32238294239576,-40.31438533758467,606.2511887258486,544.75201242013,575.5016005729892,784.475213851245,761.9218719321318,773.1985428916885,-270.0931136343299,-282.99497875004545,-276.5440461921877,1.0
-592.115036435219,-593.5041322042625,-592.8095843197408,794.7987299412894,791.1679899052922,792.9833599232908,-26.69268786254521,-28.960555169198418,-27.826621515871814,582.8979323542497,571.7450360606947,577.3214842074722,762.626225182378,751.755027435733,757.1906263090555,-293.90407432500734,-295.1150499255196,-294.50956212526347,1.0
-590.7241719231006,-612.495341360274,-601.6097566416872,795.1343893352766,781.288095912678,788.2112426239773,-18.213081026556633,-34.714095722299945,-26.46358837442829,595.7192113234598,571.0463501800201,583.38278075174,781.5182473679715,748.9875462277845,765.2528967978781,-283.6802440499398,-294.60984604783135,-289.14504504888555,1.0
-590.3611261138725,-606.070296135519,-598.2157111246958,806.6423788882709,788.6824210201236,797.6623999541972,-9.28367692476136,-22.426065171886055,-15.854871048323709,585.4109936789149,572.9161021227594,579.1635479008371,767.5142539442154,765.2125323946088,766.3633931694121,-288.7493720857191,-316.78374701257496,-302.766559549147,1.0
-567.4870345454065,-621.1407474694622,-594.3138910074343,815.4804390137293,780.305176155178,797.8928075844536,-6.004710015471807,-18.415803526343417,-12.210256770907613,608.3970268327358,552.6412265713169,580.5191267020264,794.4198690566261,751.9847323947106,773.2023007256684,-294.138368206555,-314.3433383510686,-304.2408532788118,1.0
-607.8726227929258,-644.5709461527769,-626.2217844728514,789.1618298475805,754.257579774311,771.7097048109458,-12.956129098870633,-21.27468172193764,-17.115405410404136,632.9516916563036,584.8120206800551,608.8818561681794,766.360993074516,747.9814173189448,757.1712051967304,-265.0160763926433,-293.2238181675139,-279.1199472800786,1.0
-615.5801898025172,-636.0328538601802,-625.8065218313487,779.5537697359829,762.6042085443646,771.0789891401737,-16.998381192119165,-51.123552136934734,-34.06096666452695,599.4998624955892,597.0475600417678,598.2737112686785,773.4502912607473,770.2407313077447,771.845511284246,-245.86318344687103,-280.6342340191182,-263.2487087329946,1.0
-610.111596830037,-617.5963912583128,-613.8539940441749,777.3509660389133,775.019181259123,776.1850736490181,-40.89115841874767,-42.85698733743568,-41.87407287809168,593.3064709297826,578.7387651733868,586.0226180515847,776.7134344927118,772.4030139452326,774.5582242189722,-259.7089716201335,-264.3360622445615,-262.0225169323475,1.0
-642.9999999999998,-670.5339330715755,-656.7669665357876,745.9999999999995,713.3107764932398,729.6553882466196,-76.85162695667204,-77.99999999999993,-77.42581347833598,651.4491086037527,621.9999999999995,636.7245543018762,766.0,740.8291846189636,753.4145923094818,-214.8822920923889,-236.99999999999986,-225.94114604619438,2.0
-655.665671055142,-665.3685954981554,-660.5171332766487,731.8403075470324,729.8498744446545,730.8450909958434,-64.06493971262249,-74.06070106722645,-69.06282038992447,619.9908327300695,616.6854625755798,618.3381476528247,763.8697193681145,763.7279074789003,763.7988134235075,-223.1232018386275,-228.64388298522346,-225.88354241192548,2.0
-659.8702618779745,-687.7197126269987,-673.7949872524866,743.9163716657498,710.9743631286352,727.4453673971925,-68.95697275296891,-75.03033584691646,-71.99365429994268,643.549248619797,613.6395919716566,628.5944202957269,771.3812224161569,740.6071416332624,755.9941820247096,-201.80146122742892,-241.3655111771537,-221.5834862022913,2.0
-675.4675048880633,-687.6284069074046,-681.547955897734,717.5220080801141,715.428378708708,716.475193394411,-56.02486991262244,-64.98558498014648,-60.50522744638447,630.3995777013829,623.578009894307,626.9887937978449,752.7612995096147,751.1412201679104,751.9512598387626,-210.65467284741834,-211.87277482283673,-211.26372383512754,2.0
-657.8986929587015,-664.1197702273806,-661.009231593041,736.8290926285337,722.9452815666561,729.887187097595,-66.98645223150488,-78.92917370767867,-72.95781296959177,642.4372794230799,613.893673625907,628.1654765244934,771.6125991103962,744.7247566203621,758.1686778653791,-196.37980599975924,-213.36168357161378,-204.8707447856865,2.0
-653.4953215067349,-665.8571357019857,-659.6762286043603,734.1595392363439,728.7936950146509,731.4766171254973,-73.04918678615459,-95.36785215674537,-84.20851947144999,624.2561997896069,618.4089987515073,621.332599270557,773.0243895570724,771.1051151612642,772.0647523591683,-200.68277771619847,-211.17644168602848,-205.92960970111346,2.0
-661.3775306912398,-670.4338473800394,-665.9056890356396,737.9587980041813,719.7958184716857,728.8773082379334,-83.69034796302886,-102.22938372066524,-92.95986584184705,622.3382185724722,616.2642775131402,619.3012480428063,778.9813565428856,773.8714215321963,776.426389037541,-202.85745364214867,-204.34138840639193,-203.5994210242703,2.0
-655.9465239274047,-662.2705314390936,-659.1085276832491,740.7854528364389,735.2934227415207,738.0394377889797,-84.11618850565877,-90.97982362277844,-87.54800606421861,614.7253905238861,600.9475020277818,607.8364462758339,778.6479015169316,772.5974568041266,775.6226791605291,-207.75694682221635,-221.68821755025496,-214.72258218623566,2.0
-656.0594864692132,-671.2514187587883,-663.6554526140008,733.9009448062736,722.8751117392237,728.3880282727487,-80.45382783381284,-81.73946780766909,-81.09664782074097,615.9187320711718,607.2161356328546,611.5674338520132,771.2869744844492,768.8727351711321,770.0798548277907,-202.95390869976364,-216.56798946716427,-209.76094908346397,2.0
